team,maps,kd_diff,kd,rating,wins,draws,loses,total_kills,total_deaths,rounds_played,ingame_ranking
Astralis,24,405,1.21,1.17,20,0,4,2330,1925,647,1
NRG,21,246,1.13,1.13,14,0,7,2160,1914,613,3
Natus Vincere,21,242,1.13,1.13,12,0,9,2049,1807,586,4
North,11,66,1.07,1.08,6,0,5,1064,998,311,6
Vitality,31,88,1.03,1.06,18,0,13,2795,2707,831,4
Renegades,28,91,1.04,1.05,17,0,11,2494,2403,760,3
Liquid,15,11,1.01,1.05,9,0,6,1493,1482,445,4
G2,30,53,1.02,1.05,15,0,15,2658,2605,798,5
CR4ZY,17,10,1.01,1.04,9,0,8,1708,1698,509,5
ENCE,29,11,1,1.04,18,0,11,2515,2504,758,4
AVANGAR,33,-7,1,1.03,18,0,15,2840,2847,881,2
Cloud9,15,-4,0.96,1.03,8,0,7,1190,1194,358,8
Complexity,13,-54,0.97,1.02,5,0,8,1189,1243,361,8
MOUZ,12,-35,0.96,1.01,6,0,6,1126,1161,345,5
Ninjas in Pyjamas,23,-77,0.96,1,9,0,14,1904,1981,586,7
FaZe,16,16,1.01,0.99,7,0,9,1388,1372,429,6
Grayhound,14,-54,0.96,0.99,5,0,9,1204,1258,367,8
MIBR,14,-71,0.94,0.98,7,0,7,1099,1170,346,6
FURIA,12,-75,0.92,0.96,4,0,8,922,997,290,8
DreamEaters,12,-140,0.88,0.94,5,0,7,993,1133,325,7
TYLOO,13,-185,0.85,0.93,3,0,10,1038,1223,338,8
